Шаг: 0| Правило: q31R| Ряд: 101122110
Шаг: 1| Правило: q22L| Ряд: 121122110
Шаг: 2| Правило: q10R| Ряд: 021122110
Шаг: 3| Правило: q30R| Ряд: 001122110
Шаг: 4| Правило: q32C| Ряд: 002122110
Шаг: 5| Правило: q12L| Ряд: 002122110
Шаг: 6| Правило: q31R| Ряд: 012122110
Шаг: 7| Правило: q12L| Ряд: 012122110
Шаг: 8| Правило: q12R| Ряд: 022122110
Шаг: 9| Правило: q30R| Ряд: 020122110
Шаг: 10| Правило: q32C| Ряд: 020222110
Шаг: 11| Правило: q12L| Ряд: 020222110
Шаг: 12| Правило: q31R| Ряд: 021222110
Шаг: 13| Правило: q12L| Ряд: 021222110
Шаг: 14| Правило: q12R| Ряд: 022222110
Шаг: 15| Правило: q30R| Ряд: 022022110
Шаг: 16| Правило: q12L| Ряд: 022022110
Шаг: 17| Правило: q31R| Ряд: 022122110
Шаг: 18| Правило: q12L| Ряд: 022122110
Шаг: 19| Правило: q12R| Ряд: 022222110
Шаг: 20| Правило: q30R| Ряд: 022202110
Шаг: 21| Правило: q12L| Ряд: 022202110
Шаг: 22| Правило: q31R| Ряд: 022212110
Шаг: 23| Правило: q12L| Ряд: 022212110
Шаг: 24| Правило: q12R| Ряд: 022222110
Шаг: 25| Правило: q30R| Ряд: 022220110
Шаг: 26| Правило: q32C| Ряд: 022220210
Шаг: 27| Правило: q12L| Ряд: 022220210
Шаг: 28| Правило: q31R| Ряд: 022221210
Шаг: 29| Правило: q12L| Ряд: 022221210
Шаг: 30| Правило: q12R| Ряд: 022222210
Шаг: 31| Правило: q30R| Ряд: 022222010
Шаг: 32| Правило: q32C| Ряд: 022222020
Шаг: 33| Правило: q12L| Ряд: 022222020
Шаг: 34| Правило: q31R| Ряд: 022222120
Шаг: 35| Правило: q12L| Ряд: 022222120
Шаг: 36| Правило: q12R| Ряд: 022222220
Шаг: 37| Правило: q30R| Ряд: 022222200
Шаг: 38| Правило: q22L| Ряд: 022222202
Шаг: 39| Правило: q22R| Ряд: 022222222
Шаг: 40| Правило: q21R| Ряд: 022222221S
Шаг: 41| Правило: q02C| Ряд: 0222222212

